Ids,UserName,FullName,Followers,Friends,Location,Created
1320600308,sherryontopp,Navjot Singh Sidhu,664837,146,,Apr-2013
2855255702,anilkumble1074,Anil Kumble,4243366,268,"Bengaluru, India",Oct-2014
52339151,PritishNandy,Pritish Nandy,1953042,625,"Mumbai, Goa, Kolkata",Jun-2009
231033118,PIB_India,PIB India,1619605,248,New Delhi,Dec-2010
20571756,satyanadella,Satya Nadella,1975015,234,,Feb-2009
143409075,NitishKumar,Nitish Kumar,5043818,144,"Patna, Bihar",May-2010
571878474,DDNational,Doordarshan National,333755,354,New Delhi,May-2012
2570642840,GoI_MeitY,Ministry of E & IT,275898,364,New Delhi ,Jun-2014
25628754,meerasanyal,Meera Sanyal,105525,479,India,Mar-2009
20751449,the_hindu,The Hindu,5534342,198,"Chennai, India",Feb-2009
2810785386,iamyusufpathan,Yusuf Pathan,1019693,161,"Vododara, India",Sep-2014
277434037,RNTata2000,Ratan N. Tata,7664126,40,Mumbai,Apr-2011
1652541,Reuters,Reuters Top News,20751964,1093,Around the world,Mar-2007
2911000602,SDhawan25,Shikhar Dhawan,4272361,63,India,Nov-2014
2802316930,backchnnl,Backchannel,24365,294,"San Francisco, CA",Oct-2014
168264219,googlenest,Google Nest,195530,12,Home,Jul-2010
29937112,googledownunder,Google Australia NZ,72566,622,Sydney,Apr-2009
913521757100769280,Google_Comms,Google Communications,34452,373,"Mountain View, CA",Sep-2017
38005558,MatiasDuarte,Matías Duarte,32226,391,,May-2009
257660675,googlenonprofit,Google for Nonprofits,20952,296,,Feb-2011
2499289070,Googleorg,Google.org,66519,320,"Mountain View, CA",May-2014
2890961,Gizmodo,Gizmodo,2892136,139,,Mar-2007
8841372,SAI,BI Tech,1284518,67,"New York, NY",Sep-2007
14075928,TheOnion,The Onion,11320535,15,,Mar-2008
93957809,ericschmidt,Eric Schmidt,2311883,187,"Mountain View, CA",Dec-2009
53002114,GoogleRussia,Google Россия,2088130,90,,Jul-2009
1182382878,TeslaRoadTrip,TeslaRoadTrip,57198,69,United States,Feb-2013
2893971,gigaom,GigaOm,309985,1155,"Austin, TX",Mar-2007
1068831,slashdot,Slashdot,241209,147,San Francisco,Mar-2007
19725644,neiltyson,Neil deGrasse Tyson,13475967,39,New York City,Jan-2009
816653,TechCrunch,TechCrunch,10104486,1050,"San Francisco, CA",Mar-2007
717313,arstechnica,Ars Technica,1168522,1233,NYC - Boston - Chicago - SF,Jan-2007
17060015,cleantechnica,CleanTechnica,104221,141,,Oct-2008
692023,westcoastbill,bill lee,39946,549,Being First,Jan-2007
34743251,SpaceX,SpaceX,9051744,107,"Hawthorne, CA",Apr-2009
11348282,NASA,NASA,33248641,298,,Dec-2007
729468343,RickandMorty,Rick and Morty,1746681,201,,Jul-2012
